거래처,계획일자,품번,출하수량,단가,금액,품번별 누적 금액 합계,품번별 누적 개수 합계
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-10-006.00,75,11200,840000,840000,75
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-10-006.00,70,"11,400",798000,1638000,145
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-16-016.00,100,30400,"3,040,000",3040000,100
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-16-016.00,25,29400,"735,000",3775000,125
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-6-002.00,150,"4,000",600000,600000,150
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-6-002.00,100,"4,100",410000,1010000,250
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-12-009.00,55,17000,935000,935000,55
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-12-009.00,50,17000,850000,1785000,105
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-6-002.00,100,4000,400000,1410000,350
[20595] (주) 대전 미래안전,2020년 1월,1-A-X-18-030.80,10,"58,520",585200,585200,10
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-10-006.00,70,11200,784000,2422000,215
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-10-006.00,110,"11,400",1254000,3676000,325
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-16-016.00,54,31200,"1,684,800",5459800,179
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-16-016.00,50,31200,"1,560,000",7019800,229
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-12-009.00,40,"17,100",1043100,2828100,145
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-12-009.00,30,"17,100",855000,3683100,175
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-6-002.00,75,"4,100",307500,1717500,425
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-6-002.00,50,"4,100",205000,1922500,475
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-6-002.00,100,4000,400000,2322500,575
[20595] (주) 대전 미래안전,2020년 2월,1-A-X-18-030.80,2,"58,520",117040,702240,12
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-10-006.00,60,11200,672000,4348000,385
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-10-006.00,80,11200,896000,5244000,465
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-16-016.00,100,29600,"2,960,000",9979800,329
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-16-016.00,110,29600,"3,256,000",13235800,439
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-16-016.00,70,30400,"2,128,000",15363800,509
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-6-002.00,110,"4,100",451000,2773500,685
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-12-009.00,50,17000,850000,4533100,225
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-12-009.00,40,17000,680000,5213100,265
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-6-002.00,105,4000,420000,3193500,790
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-18-030.80,5,"58,520",292600,994840,17
[20595] (주) 대전 미래안전,2020년 3월,1-A-X-18-030.80,2,"58,520",117040,1111880,19
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-10-006.00,100,"11,400",1140000,6384000,565
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-10-006.00,100,"11,400",1140000,7524000,665
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-10-006.00,105,"11,400",1197000,8721000,770
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-16-016.00,35,30400,"1,064,000",16427800,544
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-16-016.00,100,29600,"2,960,000",19387800,644
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-6-002.00,100,"4,000",400000,3593500,890
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-12-009.00,40,"17,100",1043100,6256200,305
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-12-009.00,40,"17,100",1043100,7299300,345
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-6-002.00,100,"4,100",410000,4003500,990
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-6-002.00,120,"4,100",492000,4495500,1110
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-18-030.80,5,"58,520",292600,1404480,24
[20595] (주) 대전 미래안전,2020년 4월,1-A-X-18-030.80,5,"58,520",292600,1697080,29
[20595] (주) 대전 미래안전,2020년 5월,1-A-X-10-006.00,50,"11,400",570000,9291000,820
[20595] (주) 대전 미래안전,2020년 5월,1-A-X-10-006.00,55,"11,400",627000,9918000,875
