거래처,계획일자,품번,출하수량,단가,금액,품번별 누적 금액 합계,품번별 누적 개수 합계
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,54,31200,"1,684,800","1,684,800",54
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,50,31200,"1,560,000","3,244,800",104
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,100,29600,"2,960,000","6,204,800",204
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,110,29600,"3,256,000","9,460,800",314
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,70,30400,"2,128,000","11,588,800",384
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,150,30400,"4,560,000","16,148,800",534
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,75,31200,"2,340,000","18,488,800",609
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,95,31200,"2,964,000","21,452,800",704
[20139] (주)대구 미래안전산업,2020년 3월,1-A-X-16-016.00,96,30400,"2,918,400","24,371,200",800
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,80,29600,"2,368,000","26,739,200",880
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,100,30400,"3,040,000","29,779,200",980
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,96,29400,"2,822,400","32,601,600",1076
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,108,30400,"3,283,200","35,884,800",1184
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,100,29600,"2,960,000","38,844,800",1284
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,100,30400,"3,040,000","41,884,800",1384
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,25,29400,"735,000","42,619,800",1409
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,35,30400,"1,064,000","43,683,800",1444
[20139] (주)대구 미래안전산업,2020년 4월,1-A-X-16-016.00,100,29600,"2,960,000","46,643,800",1544
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","49,603,800",1644
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","52,563,800",1744
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","55,523,800",1844
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","58,483,800",1944
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","61,443,800",2044
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","64,403,800",2144
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","67,363,800",2244
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","70,323,800",2344
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,120,29600,"3,552,000","73,875,800",2464
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,100,29600,"2,960,000","76,835,800",2564
[20139] (주)대구 미래안전산업,2020년 5월,1-A-X-16-016.00,50,29600,"1,480,000","78,315,800",2614
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,50,29600,"1,480,000","79,795,800",2664
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,60,29600,"1,776,000","81,571,800",2724
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,40,29600,"1,184,000","82,755,800",2764
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,50,30400,"1,520,000","84,275,800",2814
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,70,30400,"2,128,000","86,403,800",2884
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,80,30400,"2,432,000","88,835,800",2964
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,95,30400,"2,888,000","91,723,800",3059
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,100,30400,"3,040,000","94,763,800",3159
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,115,29400,"3,381,000","98,144,800",3274
[20139] (주)대구 미래안전산업,2020년 6월,1-A-X-16-016.00,105,29400,"3,087,000","101,231,800",3379
